Abbr;Measurement height [m. a. sea level];More information [m. a. ground];Coordinates (CH);Latitude/Longitude;Canton
DEM;441;2.00 m;2593269 / 1244543;47.351706 / 7.349561;JU
DIS;1199;2.00 m;2708190 / 1173788;46.706525 / 8.853467;GR
EBK;625;2.00 m;2726347 / 1237171;47.273339 / 9.108489;SG
EGH;2895;2.00 m;2650279 / 1141897;46.426528 / 8.092728;VS
EGO;523;2.00 m;2642914 / 1225540;47.179422 / 8.004764;LU
EIN;912;2.00 m;2699984 / 1221062;47.132986 / 8.756561;SZ
ELM;960;2.00 m;2732266 / 1198425;46.923747 / 9.17535;GL
ENG;1037;2.00 m;2674157 / 1186066;46.821614 / 8.41045;OW
EVI;484;2.00 m;2568196 / 1114693;46.182953 / 7.026747;VS
EVO;1828;2.50 m;2605413 / 1106738;46.112122 / 7.508647;VS
FAH;598;2.00 m;2562460 / 1252676;47.423814 / 6.941128;JU
FLU;942;2.00 m;2644329 / 1193315;46.889469 / 8.020283;LU
GRA;653;2.00 m;2575182 / 1180076;46.771397 / 7.113708;FR
FRU;758;2.00 m;2616773 / 1160884;46.599003 / 7.657542;BE
GVE;413;2.00 m;2498903 / 1122624;46.247453 / 6.127722;GE
GES;522;2.00 m;2682506 / 1205572;46.996078 / 8.523386;SZ
GIH;473;2.00 m;2657321 / 1188980;46.849483 / 8.190194;OW
GLA;519;2.00 m;2723752 / 1210567;47.034583 / 9.0669;GL
GOR;3131;2.00 m;2626899 / 1092512;45.983633 / 7.785742;VS
GRE;430;2.00 m;2598216 / 1225348;47.179089 / 7.415108;SO
GRH;1988;7.50 m;2668583 / 1158215;46.571689 / 8.333256;BE
GRO;326;2.00 m;2733016 / 1124079;46.254986 / 9.163728;GR
GRC;1607;2.00 m;2630736 / 1116061;46.195306 / 7.836789;VS
GOS;952;2.00 m;2688477 / 1171926;46.692678 / 8.595364;UR
GOE;382;2.00 m;2640420 / 1245945;47.363106 / 7.973697;SO
GUE;2288;2.30 m;2690087 / 1167480;46.652475 / 8.615531;UR
GUT;442;2.00 m;2738421 / 1273959;47.601706 / 9.279408;TG
HLL;421;2.00 m;2677457 / 1283472;47.697275 / 8.470472;SH
HOE;1134;2.00 m;2713515 / 1247752;47.370822 / 8.941617;ZH
ILZ;700;2.00 m;2735686 / 1181965;46.775039 / 9.215353;GR
